,# codigo,nombre,direccion,colonia,telefono,telefono2,estado,minicipio,codigopostal,profeco_tiendas_id,folder_id
0,20161,CREMERIA DE ALBA SUCURSAL CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N. BLOCK C LOCAL 1 Y 2, INT. CENTR",CENTRAL DE ABASTO,4499711648,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220712
1,20098,TORTILLERIA LA PROVIDENCIA,"VIENA 111, ESQ. DINAMARCA",SAN MARCOS,(449)9940841,,Aguascalientes,Aguascalientes,20070.0,Profeco_010101_tiendas,data20220712
2,20008,WALMART SUCURSAL PLAZA GALERIAS,"INDEPENDENCIA 2351, CENTRO COMERCIAL GALERIAS",LA CONCEPCION,(449)9107001,,Aguascalientes,Aguascalientes,20128.0,Profeco_010101_tiendas,data20220712
3,20057,FARMACIA BENAVIDES SUCURSAL PASEO DE LA ASUNCION,"CONVENCION 710, ESQ. FUNDICION",OLIVARES SANTANA,(449)9127970,,Aguascalientes,Aguascalientes,20010.0,Profeco_010101_tiendas,data20220712
4,20158,FRANCO SOLO CALIDAD SUCURSAL CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N. BLOCK H LOCAL 20, INT. CENTRAL",CENTRAL DE ABASTO,4499711338,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220712
5,20091,FARMACIA GUADALAJARA SUCURSAL DEL VALLE,"AGUASCALIENTES PTE. 908, ESQ. DINAMARCA",DEL VALLE 2A. SECCION,(449)9160658,,Aguascalientes,Aguascalientes,20080.0,Profeco_010101_tiendas,data20220712
6,20114,MEGA SORIANA SUCURSAL AGUASCALIENTES,"AGUASCALIENTES NTE. 802, ESQ. BLVD. A ZACATECAS",TROJES DE ALONSO,(449)9968877,,Aguascalientes,Aguascalientes,20116.0,Profeco_010101_tiendas,data20220712
7,20064,TONY SUPER PAPELERIAS,"LOPEZ MATEOS 101, ESQ. JOSE MARIA CHAVEZ",ZONA CENTRO,(449)9162069,,Aguascalientes,Aguascalientes,20000.0,Profeco_010101_tiendas,data20220712
8,20143,FARMACIA 5 DE MAYO,"BUENAVISTA 103, ENTRE ARELLANO Y PALO ALTO",OJO CALIENTE 1,(449)9701431,,Aguascalientes,Aguascalientes,20196.0,Profeco_010101_tiendas,data20220712
9,20125,TORTILLERIA HERNANDEZ,"OJO CALIENTE 1621, ESQ. PALO ALTO",OJO CALIENTE III,(449)9745137,,Aguascalientes,Aguascalientes,20190.0,Profeco_010101_tiendas,data20220712
10,20092,OFFICE DEPOT SUCURSAL JOSE MARIA CHAVEZ,"JOSE MARIA CHAVEZ 803, ENTRE REP. DE ECUADOR Y EPIFANIO",OBRAJE,(449)9188730,,Aguascalientes,Aguascalientes,20230.0,Profeco_010101_tiendas,data20220712
11,20100,TORTILLERIA SANTA FE DEL ENCINO,"COLON 645, ESQ. ALBA",EL ENCINO,(449)9167046,,Aguascalientes,Aguascalientes,20240.0,Profeco_010101_tiendas,data20220712
12,20130,MAXIFARMA SUCURSAL INEGI,"AGUASCALIENTES SUR 402 A, ENTRE TAMAULIPAS Y MICHOACAN",MEXICO,NO TIENE,,Aguascalientes,Aguascalientes,20270.0,Profeco_010101_tiendas,data20220712
13,20107,FARMACIAS SIMILARES,"AGUASCALIENTES 601, ESQ. DEL PARQUE",SAN MARCOS,(449)9169641,,Aguascalientes,Aguascalientes,20070.0,Profeco_010101_tiendas,data20220712
14,20010,MERCADO TERAN,"5 DE MAYO S/N, ESQ. ARTEGA",CENTRO,(449)9181732,,Aguascalientes,Aguascalientes,20000.0,Profeco_010101_tiendas,data20220712
15,20145,PAPELERIA MARCHAND,"BLVD. A ZACATECAS 502 B, ENTRE TEPEZALA Y AV. AGUASCALI",EL PLATEADO,996-96-32,,Aguascalientes,Aguascalientes,20137.0,Profeco_010101_tiendas,data20220712
16,20144,OXXO SUCURSAL COLON,"JUAN DE MONTORO 101, ESQ. CRISTOBAL COLON A UN COSTADO",CENTRO,,,Aguascalientes,Aguascalientes,20000.0,Profeco_010101_tiendas,data20220712
17,20157,ELEKTRA SUCURSAL PLAZA ESPACIO,"TECNOLOGICO 120, EX EJIDO OJOCALIENTE., CENTRO COMERCIA",EX EJIDO OJOCALIENTE,,,Aguascalientes,Aguascalientes,20000.0,Profeco_010101_tiendas,data20220712
18,20093,OFFICE MAX SUCURSAL AGUASCALIENTES,"JOSE MARIA CHAVEZ S/N, ESQ. AGUASCALIENTES SUR",JARDINES DE LAS FUENTES,(449)9780028,,Aguascalientes,Aguascalientes,20270.0,Profeco_010101_tiendas,data20220712
19,20112,TORTILLERIA CRISTO REDENTOR,"LONDRES 518, ENTRE PUEBLITO Y NAVARRETE",SAN MARCOS,(449)9150233,,Aguascalientes,Aguascalientes,20070.0,Profeco_010101_tiendas,data20220712
20,20113,TORTILLERIA DEL CARMEN,"SALTO DE LOS SALADO 519, ENTRE CALVILLITO Y CANADA HOND",OJO CALIENTE 1,(449)9702784,,Aguascalientes,Aguascalientes,20190.0,Profeco_010101_tiendas,data20220712
21,20124,TORTILLERIA SAN ANTONIO,"OJO CALIENTE 304-A, ESQ. EL SALITRE",OJO CALIENTE III,(449)9745137,,Aguascalientes,Aguascalientes,20190.0,Profeco_010101_tiendas,data20220712
22,20156,TORTILLERIA ALEXIA,"MAR CARIBE 507, ENTRE MAR JONICO Y PEDRO GARCIA ROJA",FRACC. LAS BRISAS,(449)2849981,,Aguascalientes,Aguascalientes,20010.0,Profeco_010101_tiendas,data20220712
23,20163,SEMILLAS Y CEREALES EL CIPRES SUCURSAL CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N. BLOCK C LOCAL 20 Y21, INTERIOR",CENTRAL DE ABASTO,4495808959,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220712
24,20135,TORTILLERIA SAN PEDRO,"JOSE MARIA CHAVEZ 461, ESQ. IGNACIO T. CHAVEZ",OBRAJE,(449)9183163,,Aguascalientes,Aguascalientes,20230.0,Profeco_010101_tiendas,data20220712
25,20097,TORTILLERIA 5 DE MAYO,"EL GUARDA 128-A, ESQ. OJO CALIENTE",OJO CALIENTE 1,(449)9700624,,Aguascalientes,Aguascalientes,20190.0,Profeco_010101_tiendas,data20220712
26,20101,COPPEL SUCURSAL SAN MARCOS,"CONVENCION NTE. 2301, ESQ. FUNDICION",SAN CAYETANO,(449)9124766,,Aguascalientes,Aguascalientes,20010.0,Profeco_010101_tiendas,data20220712
27,20149,TORTILLERIA SAN MARCOS,"CAMINO A SAN IGNACIO 325, ENTRE AMBIENTE Y ECOLOGIA",DE SAN IGNACIO,,,Aguascalientes,Aguascalientes,20010.0,Profeco_010101_tiendas,data20220712
28,20039,CHEDRAUI SUCURSAL AGUASCALIENTES,"BLVD. JOSE MA. CHAVEZ 1809, ENTRE VALENTE QUINTANA Y AN",PRADOS DE VILLASUNCIÓN,(449)9106461,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220712
29,20063,LIVERPOOL SUCURSAL AGUASCALIENTES,"ZACATECAS NTE. 851, ESQ. ALTARIA",TROJES DE ALONSO,(449)1393400,,Aguascalientes,Aguascalientes,20200.0,Profeco_010101_tiendas,data20220712
30,20102,ELEKTRA SUCURSAL VILLASUNCION,"MAHATMA GANDHI S/N, INTERIOR CENTRO COMERCIAL VILLASUNC",PILAR BLANCO,,,Aguascalientes,Aguascalientes,20289.0,Profeco_010101_tiendas,data20220712
31,20160,CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N, SALIDA A MÉXICO",CENTRAL DE ABASTO,,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220712
32,20099,TORTILLERIA SAN GERARDO,"OJO CALIENTE 952, ENTRE SALTO DE LOS SALADO Y CHICALOTE",OJO CALIENTE 1,(449)9718108,,Aguascalientes,Aguascalientes,20190.0,Profeco_010101_tiendas,data20220712
33,20136,TORTILLERIA SANTA LUCIA,"JOSEFA ORTIZ DE DOMINGUEZ 601, ESQ. SANTANA",BARRIO EL ENCINO,(449)1458714,,Aguascalientes,Aguascalientes,20240.0,Profeco_010101_tiendas,data20220712
34,20058,SEARS SUCURSAL AGUASCALIENTES,"BLVD. A ZACATECAS S/N, ESQ. BLVD. COLOSIO",TROJES DE ALONSO,(449)9107022,,Aguascalientes,Aguascalientes,20116.0,Profeco_010101_tiendas,data20220712
35,20090,FARMACIAS DEL AHORRO SUCURSAL DEL VALLE,"AGUASCALIENTES PTE. 820, ESQ. PARIS",DEL VALLE 1A. SECCION,(449)2614159,,Aguascalientes,Aguascalientes,20080.0,Profeco_010101_tiendas,data20220712
36,20142,MERCADO GUILLERMO PRIETO,"CARLOS SAGREDO 615-B, ESQ. GUILLERMO PRIETO",ALTAVISTA,,,Aguascalientes,Aguascalientes,20040.0,Profeco_010101_tiendas,data20220712
37,20083,SORIANA HIPER SUCURSAL SAN MARCOS,"CONVENCION S/N, ENTRE CARLOS SAGREDO Y FUNDICION",SAN CAYETANO,(449)9142239,,Aguascalientes,Aguascalientes,20010.0,Profeco_010101_tiendas,data20220712
38,20002,BODEGA AURRERA,"CONVENCION 1914 PTE. 1101, ENTRE A. DE LOS ARELLANO Y G",GUADALUPE,(449)9164250,,Aguascalientes,Aguascalientes,20180.0,Profeco_010101_tiendas,data20220712
39,20150,COPPEL SUCURSAL ESPACIO AGUASCALIENTES,"TECNOLOGICO 120, INT. CENTRO COMERCIAL ESPACIO AGUASCAL",OJOCALIENTE,,,Aguascalientes,Aguascalientes,20000.0,Profeco_010101_tiendas,data20220712
40,20159,SUPER CARNICERIA SAN JUAN SUCURSAL CENTRAL DE ABASTO,"AV. MAHATMA GANDHI S/N. BLOCK B LOCAL DEL 5 AL 7, INT.",CENTRAL DE ABASTO,4491469491,,Aguascalientes,Aguascalientes,20280.0,Profeco_010101_tiendas,data20220712
41,21003,CALIMAX SUCURSAL RIO,BLVD. CUAUHTEMOC Y PASEO DE LOS HEROES 1250,ZONA RIO,(664)6343255,,Baja California,Tijuana,22340.0,Profeco_020201_tiendas,data20220712
42,21477,TORTILLERIA MADERO,"AV. FRANCISCO I MADERO 826, ENTRE CALLE SEGUNDA Y CALLE",ZONA CENTRO,,,Baja California,Tijuana,22000.0,Profeco_020201_tiendas,data20220712
